date,price
01/01/2016,2252.6
02/01/2016,2454.5
03/01/2016,2708.1
04/01/2016,2577.8
05/01/2016,2597.75
06/01/2016,2617.7
07/01/2016,2903.8
08/01/2016,2887.8
09/01/2016,2813.8
10/01/2016,2786.8
11/01/2016,2759.8
12/01/2016,2549
13/01/2016,2335.6
14/01/2016,2332
15/01/2016,2365.8
16/01/2016,2367.066667
17/01/2016,2368.333333
18/01/2016,2369.6
19/01/2016,2359.4
20/01/2016,2394.1
21/01/2016,2395.6
22/01/2016,2390.3
23/01/2016,2393.333333
24/01/2016,2396.366667
25/01/2016,2399.4
26/01/2016,2420.9
27/01/2016,2428.8
28/01/2016,2431.2
29/01/2016,2430.2
30/01/2016,2437.85
31/01/2016,2445.5
01/02/2016,2453.15
02/02/2016,2460.8
03/02/2016,2695.2
04/02/2016,2718.25
05/02/2016,2741.3
06/02/2016,2625.3
07/02/2016,2772.9
08/02/2016,2920.5
09/02/2016,2832.7
10/02/2016,2812.5
11/02/2016,2792.3
12/02/2016,2563.4
13/02/2016,2589.566667
14/02/2016,2615.733333
15/02/2016,2641.9
16/02/2016,2645.9
17/02/2016,2659.8
18/02/2016,2654
19/02/2016,2708.9
20/02/2016,2694.133333
21/02/2016,2679.366667
22/02/2016,2664.6
23/02/2016,2687.1
24/02/2016,2752.8
25/02/2016,2719.5
26/02/2016,2710.6
27/02/2016,2715.333333
28/02/2016,2720.066667
29/02/2016,2724.8
01/03/2016,2596.8
02/03/2016,2468.8
03/03/2016,2704
04/03/2016,2730.2
05/03/2016,2756.4
06/03/2016,2678.2
07/03/2016,2793.2
08/03/2016,2908.2
09/03/2016,2857
10/03/2016,2805.8
11/03/2016,2785
12/03/2016,2746.533333
13/03/2016,2708.066667
14/03/2016,2669.6
15/03/2016,2655
16/03/2016,2656.3
17/03/2016,2733.6
18/03/2016,2671.6
19/03/2016,2665.333333
20/03/2016,2659.066667
21/03/2016,2652.8
22/03/2016,2674.9
23/03/2016,2603.4
24/03/2016,2622.1
25/03/2016,2619.7
26/03/2016,2620.7
27/03/2016,2621.7
28/03/2016,2622.7
29/03/2016,2620.6
30/03/2016,2631.8
31/03/2016,2629.4
01/04/2016,2299.8
02/04/2016,2521.5
03/04/2016,2753.5
04/04/2016,2598.5
05/04/2016,2737.8
06/04/2016,2825.55
07/04/2016,2913.3
08/04/2016,2922.3
09/04/2016,2831.2
10/04/2016,2740.1
11/04/2016,2791.5
12/04/2016,2721.45
13/04/2016,2651.4
14/04/2016,2634.1
15/04/2016,2626.2
16/04/2016,2631.2
17/04/2016,2636.2
18/04/2016,2641.2
19/04/2016,2678.4
20/04/2016,2659
21/04/2016,2651.6
22/04/2016,2652.2
23/04/2016,2651.8
24/04/2016,2651.4
25/04/2016,2651
26/04/2016,2657.8
27/04/2016,2658.9
28/04/2016,2681.6
29/04/2016,2741.7
30/04/2016,2521.5
01/05/2016,2301.3
02/05/2016,2495.1
03/05/2016,2552.9
04/05/2016,2610.7
05/05/2016,2738.6
06/05/2016,2827.7
07/05/2016,2916.8
08/05/2016,2876
09/05/2016,2834.8
10/05/2016,2713.4
11/05/2016,2626.75
12/05/2016,2540.1
13/05/2016,2712
14/05/2016,2728.733333
15/05/2016,2745.466667
16/05/2016,2762.2
17/05/2016,2738.9
18/05/2016,2731.7
19/05/2016,2681.2
20/05/2016,2716.8
21/05/2016,2710.133333
22/05/2016,2703.466667
23/05/2016,2696.8
24/05/2016,2678.3
25/05/2016,2653
26/05/2016,2641.8
27/05/2016,2613.5
28/05/2016,2614.666667
29/05/2016,2615.833333
30/05/2016,2617
31/05/2016,2611.5
01/06/2016,2329.8
02/06/2016,2421.3
03/06/2016,2512.8
04/06/2016,2604.3
05/06/2016,2753.8
06/06/2016,2675.5
07/06/2016,2956.6
08/06/2016,2904.85
09/06/2016,2853.1
10/06/2016,2679.9
11/06/2016,2614.05
12/06/2016,2548.2
13/06/2016,2752.7
14/06/2016,2776.5
15/06/2016,2775.2
16/06/2016,2823.2
17/06/2016,2788.9
18/06/2016,2779.2
19/06/2016,2769.5
20/06/2016,2759.8
21/06/2016,2759.9
22/06/2016,2748.6
23/06/2016,2734.7
24/06/2016,2841.6
25/06/2016,2856.5
26/06/2016,2871.4
27/06/2016,2886.3
28/06/2016,2855.6
29/06/2016,2875
30/06/2016,2859.1
01/07/2016,2369.5
02/07/2016,2546.9
03/07/2016,2724.3
04/07/2016,2654.3
05/07/2016,2657.9
06/07/2016,2661.5
07/07/2016,2936.7
08/07/2016,2902.35
09/07/2016,2868
10/07/2016,2694.7
11/07/2016,2748.7
12/07/2016,2552.1
13/07/2016,2887.4
14/07/2016,2847.2
15/07/2016,2847
16/07/2016,2856.866667
17/07/2016,2866.733333
18/07/2016,2876.6
19/07/2016,2868.6
20/07/2016,2837.9
21/07/2016,2848.8
22/07/2016,2847.4
23/07/2016,2841.833333
24/07/2016,2836.266667
25/07/2016,2830.7
26/07/2016,2863.2
27/07/2016,2873.7
28/07/2016,2891.9
29/07/2016,2886
30/07/2016,2709.333333
31/07/2016,2532.666667
01/08/2016,2356
02/08/2016,2597.3
03/08/2016,2724
04/08/2016,2654.8
05/08/2016,2679.9
06/08/2016,2705
07/08/2016,2934
08/08/2016,2868.3
09/08/2016,2864.2
10/08/2016,2798.15
11/08/2016,2732.1
12/08/2016,2534.6
13/08/2016,2648.633333
14/08/2016,2762.666667
15/08/2016,2876.7
16/08/2016,2884.8
17/08/2016,2883.4
18/08/2016,2902.5
19/08/2016,2889.3
20/08/2016,2885.866667
21/08/2016,2882.433333
22/08/2016,2879
23/08/2016,2894.6
24/08/2016,2857.4
25/08/2016,2842.5
26/08/2016,2837.7
27/08/2016,2839.133333
28/08/2016,2840.566667
29/08/2016,2842
30/08/2016,2839.6
31/08/2016,2822.3
01/09/2016,2711
02/09/2016,2599.7
03/09/2016,2693.4
04/09/2016,2699.2
05/09/2016,2705
06/09/2016,2698.2
07/09/2016,2787.45
08/09/2016,2876.7
09/09/2016,2847.2
10/09/2016,2791.1
11/09/2016,2735
12/09/2016,2521.7
13/09/2016,2848.5
14/09/2016,2846.3
15/09/2016,2812.3
16/09/2016,2808.2
17/09/2016,2815.8
18/09/2016,2823.4
19/09/2016,2831
20/09/2016,2824.7
21/09/2016,2852.2
22/09/2016,2880
23/09/2016,2862.5
24/09/2016,2865.133333
25/09/2016,2867.766667
26/09/2016,2870.4
27/09/2016,2837
28/09/2016,2820
29/09/2016,2812.6
30/09/2016,2837.7
01/10/2016,2715.45
02/10/2016,2593.2
03/10/2016,2727.3
04/10/2016,2715.75
05/10/2016,2704.2
06/10/2016,2731.8
07/10/2016,2810.4
08/10/2016,2889
09/10/2016,2788.35
10/10/2016,2687.7
11/10/2016,2728.3
12/10/2016,2715.55
13/10/2016,2702.8
14/10/2016,2678.4
15/10/2016,2682.366667
16/10/2016,2686.333333
17/10/2016,2690.3
18/10/2016,2694.4
19/10/2016,2714.4
20/10/2016,2728.6
21/10/2016,2720.5
22/10/2016,2719.5
23/10/2016,2718.5
24/10/2016,2717.5
25/10/2016,2722.5
26/10/2016,2725.8
27/10/2016,2717.8
28/10/2016,2729.6
29/10/2016,2727.766667
30/10/2016,2725.933333
31/10/2016,2724.1
01/11/2016,2362
02/11/2016,2704.5
03/11/2016,2728.2
04/11/2016,2680.5
05/11/2016,2730.4
06/11/2016,2827.6
07/11/2016,2924.8
08/11/2016,2903.9
09/11/2016,2796.6
10/11/2016,2689.3
11/11/2016,2688
12/11/2016,2674.233333
13/11/2016,2660.466667
